text,dep,pos,head_text,head_pos,head_dep,next_verb,entity_label,frequency_in_doc,sentence_loc,sentence_num,label
Ottawa,pobj,PROPN,of,ADP,prep,acquired,GPE,2,-1,0,acqloc
Scott's Hospitality Inc,compound,PROPN,Inc,PROPN,nsubj,said,ORG,1,0,0,purchaser
acquired,nsubj,PRON,acquired,VERB,ccomp,acquired,nonent,1,5,0,status
Terms,nsubjpass,PROPN,disclosed,VERB,ROOT,disclosed,nonent,1,0,1,none
it,nsubj,PRON,reached,VERB,ccomp,reached,nonent,4,4,0,none
a gain,dobj,NOUN,report,VERB,xcomp,report,nonent,1,24,0,none
the transaction,pobj,NOUN,on,ADP,prep,report,nonent,1,-1,0,none
cable television business,dobj,NOUN,sell,VERB,acl,sell,nonent,1,14,0,acquired
undisclosed,amod,ADJ,terms,NOUN,pobj,sell,nonent,1,18,0,drlamt
Video Display Corfp,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,seller
tentiative agreement,dobj,NOUN,reached,VERB,ccomp,reached,nonent,1,8,0,status
The buyer,nsubjpass,NOUN,named,VERB,ROOT,named,nonent,1,0,1,none
it,nsubj,PRON,selling,VERB,ccomp,selling,nonent,4,6,0,none
its Hamburg vegetable oil and fats subsidiary,dobj,NOUN,selling,VERB,ccomp,selling,nonent,1,9,0,none
Noblee und Thoerl GmbH,compound,PROPN,GmbH,PROPN,conj,selling,ORG,1,16,0,acquired
Oelmuehle Hamburg AG,pobj,PROPN,to,ADP,dative,selling,ORG,1,-1,0,purchaser
Henkel KGaA,nsubj,PROPN, ,SPACE,dep,said,ORG,1,3,0,seller
selling,aux,AUX,selling,VERB,ccomp,selling,nonent,1,8,0,status
A company spokesman,nsubj,NOUN,declined,VERB,ROOT,declined,nonent,1,0,1,none
the purchase price,dobj,NOUN,give,VERB,xcomp,give,nonent,1,-1,1,none
a statement,pobj,NOUN,in,ADP,prep,said,nonent,1,5,0,none
it,nsubj,PRON,acquired,VERB,ccomp,acquired,nonent,3,8,0,none
an eight pct interest,dobj,NOUN,acquired,VERB,ccomp,acquired,nonent,1,11,0,none
a sum,pobj,NOUN,for,ADP,prep,said,nonent,1,20,0,none
1.2 billion Belgian francs,pobj,NOUN,to,ADP,prep,said,MONEY,1,-1,0,none
Pancontinental Mining Ltd,pobj,PROPN,in,ADP,prep,acquired,ORG,1,16,0,acquired
"R: ""Union Miniere SA",nsubj,PROPN,said,VERB,ROOT,said,nonent,0,0,0,status
Canada,pobj,PROPN,in,ADP,prep,operates,GPE,1,-1,1,none
gold and coal mines,dobj,NOUN,operates,VERB,ROOT,operates,nonent,1,2,1,acqbus
natural gas and oil fields,conj,NOUN,mines,NOUN,dobj,operates,nonent,1,9,1,acqloc
Australia,pobj,PROPN,in,ADP,prep,operates,GPE,1,7,1,drlamt
it,nsubj,PRON,completed,VERB,ccomp,completed,nonent,17,3,0,none
the sale,dobj,NOUN,completed,VERB,ccomp,completed,nonent,2,6,0,none
57.5 pct,pobj,NOUN,of,ADP,prep,completed,PERCENT,1,9,0,none
France,pobj,PROPN,of,ADP,prep,completed,GPE,1,24,0,none
Japan,pobj,PROPN,of,ADP,prep,completed,GPE,1,29,0,none
cash,pobj,NOUN,in,ADP,prep,completed,nonent,1,-1,0,none
Honeywell Information Systems,pobj,PROPN,of,ADP,prep,completed,ORG,2,13,0,acquired
computer,dep,SPACE,business,NOUN,pobj,completed,nonent,3,16,0,acqbus
527 mln dlrs,pobj,NOUN,for,ADP,prep,completed,MONEY,1,31,0,drlamt
Compagnie des Machines Bull,pobj,PROPN,to,ADP,prep,completed,ORG,1,19,0,purchaser
"R: ""NEC Corp",conj,PROPN,Bull,PROPN,pobj,completed,nonent,0,26,0,seller
Honeywell Inc,nsubj,PROPN,said,VERB,ROOT,said,ORG,3,0,0,status
it,nsubj,PRON,use,VERB,ccomp,use,nonent,17,2,1,none
the money,pobj,NOUN,of,ADP,prep,use,nonent,1,7,1,none
short-term debt,dobj,NOUN,reduce,VERB,xcomp,reduce,nonent,1,11,1,none
the company,nsubj,NOUN,purchased,VERB,relcl,purchased,nonent,1,17,1,none
the Sperry Aerospace Group,dobj,PROPN,purchased,VERB,relcl,purchased,ORG,1,-1,1,none
it,nsubj,PRON,entered,VERB,ccomp,entered,nonent,3,4,0,none
Northwest Federal Savings and Loan Association,dobj,PROPN,acquire,VERB,acl,acquire,ORG,1,11,0,acquired
"Woodward, Oklahoma",pobj,PROPN,of,ADP,prep,acquire,nonent,1,-1,0,acqloc
LSB Industries Inc,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,purchaser
entered into an agreement,pobj,NOUN,into,ADP,prep,acquire,nonent,1,5,0,status
completion,pobj,NOUN,Upon,SCONJ,prep,pay,nonent,2,1,1,none
the acquisition,pobj,NOUN,of,ADP,prep,pay,nonent,1,-1,1,none
about 1.5 mln dlrs,dobj,NOUN,pay,VERB,ROOT,pay,MONEY,1,8,1,none
the shareholders,pobj,NOUN,to,ADP,dative,pay,nonent,1,13,1,none
certain assets,dobj,NOUN,transfer,VERB,conj,transfer,nonent,1,22,1,none
a net current appraised value,dobj,NOUN,having,VERB,acl,having,nonent,1,25,1,none
not less than 30 mln dlrs,pobj,NOUN,of,ADP,prep,having,nonent,1,-1,1,none
it,nsubj,PRON,completed,VERB,ccomp,completed,nonent,6,3,0,none
a transaction,dobj,NOUN,completed,VERB,ccomp,completed,nonent,1,5,0,none
which,pobj,PRON,in,ADP,prep,merged,nonent,1,8,0,none
it,nsubj,PRON,merged,VERB,relcl,merged,nonent,6,3,0,none
its wholly owned subsidiary,dobj,NOUN,merged,VERB,relcl,merged,nonent,1,-1,0,none
a public company,appos,NOUN,Inc,PROPN,pobj,merged,nonent,1,-1,0,none
return,pobj,NOUN,in,ADP,prep,merged,nonent,1,25,0,none
a controlling interest,pobj,NOUN,for,ADP,prep,controlling,nonent,1,27,0,none
Flyfaire International Inc,appos,PROPN,subsidiary,NOUN,dobj,merged,nonent,2,-1,0,acquired
Shefra Inc,pobj,PROPN,into,ADP,prep,merged,ORG,1,-1,0,purchaser
"PLAZA GROUP"" / ""Plaza Group",nsubj,PROPN,said,VERB,ROOT,said,nonent,0,0,0,seller
completed,ccomp,VERB,said,VERB,ROOT,said,nonent,1,4,0,status
completion,pobj,NOUN,With,ADP,prep,changed,nonent,1,1,1,none
the merger,pobj,NOUN,of,ADP,prep,changed,nonent,1,-1,1,none
its name,dobj,NOUN,changed,VERB,ROOT,changed,nonent,1,7,1,none
Flyfaire International Inc.,pobj,PROPN,to,ADP,prep,changed,ORG,1,10,1,none
it,nsubj,PRON,increase,VERB,ccomp,increase,nonent,9,4,0,none
Borg-Warner Corp's  listed unit,pobj,NOUN,for,ADP,prep,listed,nonent,1,-1,0,none
Borg-Warner (Australia) Ltd,appos,PROPN,unit,NOUN,pobj,listed,ORG,1,15,0,none
BWA,appos,PROPN,Ltd,PROPN,appos,listed,ORG,5,-1,0,none
five dlrs,pobj,NOUN,to,ADP,prep,increase,MONEY,1,20,0,none
four dlrs,pobj,NOUN,from,ADP,prep,increase,MONEY,1,24,0,none
all issued ordinary and preference shares,pobj,NOUN,for,ADP,prep,issued,nonent,1,-1,0,none
Borg-Warner (Australia) Ltd,amod,PROPN,unit,NOUN,pobj,increase,ORG,1,15,0,acquired
BTR Nylex Ltd,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,purchaser
increase its takeover offer,dobj,NOUN,increase,VERB,ccomp,increase,nonent,1,6,0,status
The new offer,nsubj,NOUN,values,VERB,ROOT,values,nonent,1,0,1,none
the diversified auto parts manufacturer's 27.22 mln ordinary shares,dobj,NOUN,values,VERB,ROOT,values,nonent,1,4,1,none
13.22 mln first participating preference shares,conj,NOUN,shares,NOUN,dobj,participating,nonent,1,14,1,none
202.2 mln dlrs,pobj,NOUN,at,ADP,prep,values,MONEY,1,-1,1,none
it,nsubj,PRON,make,VERB,ccomp,make,nonent,11,4,0,none
the company's shares,dobj,NOUN,valuing,VERB,advcl,valuing,nonent,1,18,0,none
Superdrug Stores Plc,pobj,PROPN,for,ADP,prep,make,ORG,1,14,0,acquired
Woolworth Holdings Plc,nsubj,PROPN, ,SPACE,dep,said,ORG,1,0,0,purchaser
bid,amod,VERB,bid,NOUN,dobj,make,nonent,3,12,0,status
The offer,nsubjpass,NOUN,made,VERB,ROOT,made,nonent,1,0,1,none
the basis,pobj,NOUN,on,ADP,prep,made,nonent,1,6,1,none
17 new Woolworth ordinary shares,pobj,NOUN,of,ADP,prep,made,nonent,1,9,1,none
County Bank Ltd,nsubj,PROPN,bought,VERB,ccomp,bought,ORG,1,3,0,none
"165,000 shares",dobj,NOUN,bought,VERB,ccomp,bought,nonent,1,8,0,none
its behalf,pobj,NOUN,on,ADP,prep,bought,nonent,1,-1,0,none
its stake,dobj,NOUN,increasing,VERB,advcl,increasing,nonent,1,17,0,none
5.4 pct,pobj,NOUN,to,ADP,prep,increasing,PERCENT,1,-1,0,none
Hillards Plc,pobj,PROPN,in,ADP,prep,bought,ORG,1,11,0,acquired
Tesco Plc,nsubj,PROPN, ,SPACE,dep,said,ORG,1,0,0,purchaser
The shares,nsubjpass,NOUN,bought,VERB,ROOT,bought,nonent,1,0,1,none
Sweden's Wallenberg group,nsubj,NOUN,said,VERB,ROOT,said,nonent,1,0,0,none
it,nsubj,PRON,raised,VERB,ccomp,raised,nonent,6,4,0,none
the voting rights,pobj,NOUN,of,ADP,prep,raised,nonent,1,19,0,none
28.9 pct,pobj,NOUN,from,ADP,prep,raised,PERCENT,1,-1,0,none
Telefon AB L.M. Ericsson,nmod,PROPN,St.,PROPN,pobj,raised,nonent,1,11,0,acquired
telecommunications,prep,ADP,holding,NOUN,dobj,raised,nonent,1,9,0,acqbus
raised its holding,poss,PRON,holding,NOUN,dobj,raised,nonent,1,5,0,status
The move,nsubj,NOUN,consolidated,VERB,ccomp,consolidated,nonent,2,0,1,none
the institutions,pobj,NOUN,of,ADP,prep,consolidated,nonent,1,11,1,none
the core,pobj,NOUN,at,ADP,prep,formed,nonent,1,14,1,none
the group,pobj,NOUN,of,ADP,prep,formed,nonent,2,17,1,none
companies,pobj,NOUN,of,ADP,prep,formed,nonent,2,20,1,none
the late industrialist,pobj,NOUN,by,ADP,agent,formed,nonent,1,23,1,none
Marcus Wallenberg,appos,PROPN,industrialist,NOUN,pobj,formed,PERSON,1,-1,1,none
group control,dobj,NOUN,consolidated,VERB,ccomp,consolidated,nonent,1,30,1,none
its key firms,pobj,NOUN,of,ADP,prep,consolidated,nonent,1,-1,1,none
analysts,nsubj,NOUN,said,VERB,ROOT,said,nonent,1,38,1,none
Knut and Alice Wallenberg Foundation,pobj,PROPN,by,ADP,prep,consolidated,nonent,1,-1,1,purchaser
it,nsubj,PRON,received,VERB,ccomp,received,nonent,4,4,0,none
the Maine Bureau,pobj,PROPN,from,ADP,prep,received,nonent,1,9,0,none
its proposed acquisition,pobj,NOUN,for,ADP,prep,proposed,nonent,1,15,0,none
the acquisition,nsubjpass,NOUN,expected,VERB,conj,expected,nonent,1,25,0,none
April,pobj,PROPN,around,ADP,prep,close,nonent,1,32,0,none
Coastal Bancorp,pobj,PROPN,of,ADP,prep,proposed,ORG,1,19,0,acquired
"Portland, Maine",pobj,PROPN,of,ADP,prep,proposed,nonent,1,-1,0,acqloc
Suffield Financial Corp,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,purchaser
received approval,dobj,NOUN,received,VERB,ccomp,received,nonent,1,6,0,status
it,nsubj,PRON,acquired,VERB,ccomp,acquired,nonent,12,5,0,none
Triton Energy Corp's wholly owned Canadian subsidiary,dobj,NOUN,acquired,VERB,ccomp,acquired,nonent,1,-1,0,none
the issue,pobj,NOUN,for,ADP,prep,acquired,nonent,1,18,0,none
3.75 mln common shares,pobj,NOUN,of,ADP,prep,acquired,nonent,1,21,0,none
regulatory approvals,pobj,NOUN,to,ADP,prep,acquired,nonent,1,-1,0,none
Triton Petroleum Ltd,appos,PROPN,subsidiary,NOUN,dobj,acquired,ORG,2,-1,0,acquired
Canadian Worldwide Energy Ltd,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,purchaser
acquired,ccomp,VERB,said,VERB,ROOT,said,nonent,1,6,0,status
The company,nsubj,NOUN,said,VERB,ROOT,said,nonent,1,0,1,none
the transaction,nsubj,NOUN,increase,VERB,ccomp,increase,nonent,1,3,1,none
Triton Energy's holding,dobj,NOUN,increase,VERB,ccomp,increase,nonent,1,7,1,none
13.25 mln shrs,pobj,NOUN,to,ADP,prep,increase,MONEY,1,14,1,none
a 60 pct fully diluted interest,conj,NOUN,shrs,NOUN,pobj,increase,nonent,1,18,1,none
9.5 mln shares,pobj,NOUN,from,ADP,prep,increase,nonent,1,-1,1,none
it,nsubj,PRON,filed,VERB,ccomp,filed,nonent,4,5,0,none
a preliminary short form prospectus,dobj,NOUN,filed,VERB,ccomp,filed,nonent,1,7,0,none
Canada,pobj,PROPN,in,ADP,prep,filed,GPE,2,13,0,none
the United States,conj,PROPN,Canada,PROPN,pobj,filed,GPE,2,15,0,none
a secondary offering,pobj,NOUN,for,ADP,prep,sold,nonent,1,19,0,none
22.8 pct,pobj,NOUN,of,ADP,prep,sold,PERCENT,1,23,0,none
outstanding common stock,pobj,NOUN,of,ADP,prep,sold,nonent,1,-1,0,none
"9,362,197 common shares",conj,NOUN,stock,NOUN,pobj,sold,nonent,1,-1,0,none
certain shareholders,pobj,NOUN,by,ADP,agent,sold,nonent,1,-1,0,none
Bow Valley Industries Ltd,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,acquired
The company,nsubj,NOUN,said,VERB,ROOT,said,nonent,1,0,1,none
a holding company,appos,NOUN,Inc,PROPN,nsubj,holding,nonent,1,6,1,none
the Seaman brothers,pobj,NOUN,by,ADP,agent,owned,nonent,1,12,1,none
Calgary,pobj,PROPN,of,ADP,prep,owned,GPE,1,16,1,none
Charles Rosner Bronfman Trust,conj,PROPN,brothers,NOUN,pobj,owned,ORG,1,18,1,none
Montreal,pobj,PROPN,of,ADP,prep,owned,GPE,1,-1,1,none
all,dobj,PRON,sell,VERB,xcomp,sell,nonent,5,28,1,none
its holding,pobj,NOUN,of,ADP,prep,sell,nonent,1,30,1,none
"8,279,665 Bow Valley common shares",pobj,NOUN,of,ADP,prep,sell,nonent,1,-1,1,none
Bowcan Holdings Inc,nsubj,PROPN,offering,VERB,ccomp,offering,ORG,1,-1,1,seller
offering to sell,aux,AUX,offering,VERB,ccomp,offering,nonent,1,25,1,status
a 10-K filing,pobj,NOUN,in,ADP,prep,said,nonent,1,4,0,none
the Securities and Exchange Commission,pobj,PROPN,with,ADP,prep,said,ORG,1,8,0,none
it,nsubj,PRON,has,VERB,ccomp,has,nonent,5,14,0,none
7.9 mln shares,dobj,NOUN,has,VERB,ccomp,has,nonent,1,16,0,none
close to five pct,conj,NOUN,shares,NOUN,dobj,has,PERCENT,1,20,0,none
a spokesman,nsubj,NOUN,said,VERB,ROOT,said,nonent,1,30,0,none
Santa Fe Southern Pacific Corp,pobj,PROPN,of,ADP,prep,has,ORG,1,-1,0,acquired
Henley Group,nsubj,PROPN,said,VERB,ccomp,said,ORG,1,0,0,purchaser
response,pobj,NOUN,In,ADP,prep,said,nonent,1,1,1,none
questions,pobj,NOUN,to,ADP,prep,said,nonent,1,3,1,none
Reuters,pobj,PROPN,from,ADP,prep,said,ORG,1,-1,1,none
the Henley spokesman,nsubj,NOUN,said,VERB,ROOT,said,nonent,1,6,1,none
the filing,nsubj,NOUN,was,AUX,advcl,said,nonent,1,10,1,none
December,pobj,PROPN,of,ADP,prep,said,nonent,1,15,1,none
the company,nsubj,NOUN,holds,VERB,conj,holds,nonent,1,20,1,none
the shares,dobj,NOUN,holds,VERB,conj,holds,nonent,1,-1,1,none
the brokerage and investment subsidiary,appos,NOUN,Oppenheimer,PROPN,nsubj,told,nonent,1,1,0,none
Oppenheimer Group Inc,pobj,PROPN,of,ADP,prep,told,ORG,1,-1,0,none
the Securities and Exchange Commission,dobj,PROPN,told,VERB,ROOT,told,ORG,1,11,0,none
it,nsubj,PRON,acquired,VERB,ccomp,acquired,nonent,9,16,0,none
"243,400 shares",dobj,NOUN,acquired,VERB,ccomp,acquired,nonent,1,19,0,none
6.0 pct,conj,NOUN,shares,NOUN,dobj,acquired,PERCENT,1,25,0,none
the total,pobj,NOUN,of,ADP,prep,acquired,nonent,2,28,0,none
Cyclops Corp,pobj,PROPN,of,ADP,prep,acquired,ORG,1,-1,0,acquired
it,nsubj,PRON,bought,VERB,ccomp,bought,nonent,9,2,1,none
the stake,dobj,NOUN,bought,VERB,ccomp,bought,nonent,1,4,1,none
connection,pobj,NOUN,in,ADP,prep,bought,nonent,1,7,1,none
risk arbitrage,pobj,NOUN,with,ADP,prep,bought,nonent,1,9,1,none
other investment activities,conj,NOUN,arbitrage,NOUN,pobj,bought,nonent,1,12,1,none
the ordinary course,pobj,NOUN,in,ADP,prep,bought,nonent,1,16,1,none
its business,pobj,NOUN,of,ADP,prep,bought,nonent,1,-1,1,none
it,nsubj,PRON,reached,VERB,ccomp,reached,nonent,1,4,0,none
a non-binding agreement,dobj,NOUN,reached,VERB,ccomp,reached,nonent,1,6,0,none
gypsum wallboard plant,compound,NOUN,wallboard,NOUN,compound,buy,nonent,1,14,0,acquired
Seattle,pobj,PROPN,in,ADP,prep,buy,GPE,1,18,0,acqloc
Louisiana Pacific Corp,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,purchaser
Norwest Gypsum,pobj,PROPN,from,ADP,prep,buy,ORG,1,-1,0,seller
reached a non-binding agreement in principle,dobj,NOUN,reached,VERB,ccomp,reached,nonent,1,5,0,status
its insurance subsidiaries,conj,NOUN,Kaufman,PROPN,nsubj,said,nonent,1,5,0,none
they,nsubj,PRON,lowered,VERB,ccomp,lowered,nonent,1,9,0,none
their stake,dobj,NOUN,lowered,VERB,ccomp,lowered,nonent,1,11,0,none
"1,795,908 shares",pobj,NOUN,to,ADP,prep,lowered,nonent,1,-1,0,none
6.9 pct,conj,NOUN,shares,NOUN,pobj,lowered,PERCENT,1,23,0,none
the total,pobj,NOUN,of,ADP,prep,lowered,nonent,1,26,0,none
"2,120,908 shares",pobj,NOUN,from,ADP,prep,lowered,nonent,1,-1,0,none
8.1 pct,conj,NOUN,shares,NOUN,pobj,lowered,PERCENT,1,-1,0,none
Quaker State Oil Refining Corp,pobj,PROPN,in,ADP,prep,lowered,ORG,1,14,0,acquired
Kaufman and Board Inc,conj,PROPN,Kaufman,PROPN,nsubj,said,ORG,1,0,0,seller
A group,nsubj,NOUN,said,VERB,ROOT,controlled,nonent,1,0,0,none
firms,pobj,NOUN,of,ADP,prep,controlled,nonent,1,3,0,none
funds,conj,NOUN,firms,NOUN,pobj,controlled,nonent,1,5,0,none
it,nsubj,PRON,acquired,VERB,ccomp,acquired,nonent,7,14,0,none
the equivalent,dobj,NOUN,acquired,VERB,ccomp,acquired,nonent,1,17,0,none
"882,507 shares",pobj,NOUN,of,ADP,prep,acquired,nonent,1,20,0,none
8.0 pct,conj,NOUN,equivalent,NOUN,dobj,acquired,PERCENT,1,26,0,none
the total,pobj,NOUN,of,ADP,prep,acquired,nonent,1,29,0,none
Allegheny International,pobj,PROPN,of,ADP,prep,acquired,ORG,1,-1,0,acquired
Mario Gabelli,pobj,PROPN,by,ADP,agent,controlled,PERSON,1,11,0,purchaser
a filing,pobj,NOUN,In,ADP,prep,said,nonent,1,1,1,none
the Securities and Exchange Commission,pobj,PROPN,with,ADP,prep,said,ORG,1,-1,1,none
the Gabelli group,nsubj,NOUN,said,VERB,ROOT,said,nonent,1,9,1,none
it,nsubj,PRON,bought,VERB,ccomp,bought,nonent,7,13,1,none
the stake,dobj,NOUN,bought,VERB,ccomp,bought,nonent,1,15,1,none
part,pobj,NOUN,as,ADP,prep,bought,nonent,1,18,1,none
its  business,pobj,NOUN,of,ADP,prep,bought,nonent,1,20,1,none
an effort,pobj,NOUN,in,ADP,conj,seek,nonent,1,25,1,none
control,dobj,NOUN,seek,VERB,acl,seek,nonent,2,29,1,none
the company,pobj,NOUN,of,ADP,prep,seek,nonent,1,-1,1,none
it,nsubj,PRON,signed,VERB,ccomp,signed,nonent,1,5,0,none
a letter,dobj,NOUN,signed,VERB,ccomp,signed,nonent,1,8,0,none
Fla.,appos,PROPN,Beach,PROPN,pobj,purchase,GPE,1,-1,0,none
approval,pobj,NOUN,to,ADP,prep,signed,nonent,1,30,0,none
both boards,pobj,NOUN,by,ADP,prep,signed,nonent,1,-1,0,none
Don Lowe Foods Inc,compound,PROPN,Inc,PROPN,dobj,purchase,ORG,1,17,0,acquired
food distributor,amod,VERB,distributor,NOUN,compound,purchase,nonent,1,15,0,acqbus
"Pompano Beach, Fla.",pobj,PROPN,of,ADP,prep,purchase,nonent,1,-1,0,acqloc
undisclosed,punct,PUNCT,Beach,PROPN,pobj,purchase,nonent,1,26,0,drlamt
golden Poultry Co Inc,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,purchaser
letter of intent,pobj,NOUN,of,ADP,prep,purchase,nonent,1,9,0,status
it,nsubj,PRON,agreed,VERB,ccomp,agreed,nonent,10,3,0,none
its remaining South African business,dobj,NOUN,sell,VERB,xcomp,sell,nonent,1,-1,0,none
South africa,pobj,PROPN,of,ADP,prep,sell,GPE,1,24,0,none
Norton co Pty Ltd,appos,PROPN,business,NOUN,dobj,sell,ORG,1,-1,0,acquired
undisclosed,pobj,PROPN,of,ADP,prep,sell,nonent,1,27,0,drlamt
Global Mining and Industrial Corp,cc,PROPN,Mining,PROPN,pobj,sell,ORG,1,18,0,purchaser
Norton co,nsubj,PROPN,said,VERB,ROOT,said,nonent,2,0,0,seller
agreed to sell,xcomp,VERB,agreed,VERB,ccomp,agreed,nonent,1,5,0,status
The company,nsubj,NOUN,said,VERB,ROOT,said,nonent,1,0,1,none
the unit,nsubj,NOUN,accounts,VERB,ccomp,accounts,nonent,2,3,1,none
less than two pct,pobj,NOUN,for,ADP,prep,accounts,PERCENT,1,7,1,none
Norton revenues,pobj,NOUN,of,ADP,prep,accounts,nonent,1,12,1,none
Growing societal pressures,nsubj,NOUN,required,VERB,advcl,required,nonent,1,-1,1,none
the United States,pobj,PROPN,in,ADP,prep,required,GPE,1,23,1,none
the unsettled situation,conj,NOUN,pressures,NOUN,nsubj,required,nonent,1,27,1,none
south Africa,pobj,PROPN,in,ADP,prep,required,nonent,1,31,1,none
a disproportionate amount,dobj,NOUN,required,VERB,advcl,required,nonent,1,35,1,none
management,pobj,NOUN,of,ADP,prep,required,nonent,1,39,1,none
it,nsubj,PRON,agreed,VERB,ccomp,agreed,nonent,7,4,0,none
a 50 pct interest,dobj,NOUN,sell,VERB,xcomp,sell,nonent,1,11,0,none
a group,pobj,NOUN,in,ADP,prep,sell,nonent,1,16,0,none
a buyer,pobj,NOUN,to,ADP,dative,name,nonent,1,26,0,none
it,nsubj,PRON,name,VERB,relcl,name,nonent,7,4,0,none
group of mineral properties,pobj,NOUN,of,ADP,prep,sell,nonent,1,17,0,acquired
southwest Pacific,pobj,PROPN,in,ADP,prep,sell,nonent,1,23,0,acqloc
30 mln Canadian dlrs,pobj,NOUN,for,ADP,prep,sell,MONEY,1,-1,0,drlamt
City Resources Ltd,nsubj,PROPN,said,VERB,ROOT,said,ORG,2,0,0,seller
agreed in principle,pobj,NOUN,in,ADP,prep,agreed,nonent,1,6,0,status
The company,nsubj,NOUN,said,VERB,ROOT,said,nonent,2,0,1,none
a preliminary estimate,nsubj,NOUN,indicates,VERB,ccomp,indicates,nonent,1,3,1,none
the geological resources,pobj,NOUN,of,ADP,prep,indicates,nonent,1,7,1,none
the properties,pobj,NOUN,of,ADP,prep,indicates,nonent,1,13,1,none
a depth,pobj,NOUN,to,ADP,prep,indicates,nonent,1,16,1,none
200 meters,pobj,NOUN,of,ADP,prep,indicates,QUANTITY,1,19,1,none
a potential,dobj,NOUN,indicates,VERB,ccomp,indicates,nonent,1,22,1,none
